Dates,News,Sentiment label 
28-01-2016,"april gold down 20 cents to settle at $1,116.10/oz",negative
13-09-2017,gold suffers third straight daily decline,negative
26-07-2016,Gold futures edge up after two-session decline,positive
28-02-2018,dent research : is gold's day in the sun coming soon?,none
06-09-2017,"Gold snaps three-day rally as Trump, lawmakers reach debt-ceiling deal",negative
16-08-2016,"Dec. gold climbs $9.40, or 0.7%, to settle at $1,356.90/oz",positive
24-09-2013,"gold falls by rs 25 on sluggish demand, global cues",negative
23-09-2016,"Gold futures fall for the session, but gain for the week",positive
21-10-2012,"Gold struggles; silver slides, base metals falter",neutral
16-03-2018,"april gold holds slight gain, up $2.50, or 0.2%, at $1320.20/oz.",positive
04-02-2009,"feb. gold ends up $9.60, or 1.1%, at $901.60 an ounce",positive
28-07-2017,"gold trades in red in early trade; eyes near-term range at rs 28,300-28,600",negative
31-10-2011,"gold loses 1.3%, but logs monthly gain of 6.3%",positive
21-09-2013,gold recovery? here's one way to play it,positive
22-09-2017,"gold prices rebound rs 350 on global cues, weak rupee",positive
11-05-2016,"can investment in gold, sensex & ppfs give the same returns?",none
14-05-2013,gold rush spooks economy as trade deficit surges to $17.8 bn,positive
04-09-2018,"Gold futures down at Rs 30,244 ",negative
04-09-2018,"state street : gold likely to climb back to $1,350 an ounce by the end of 2018",positive
09-12-2016,gold prices slip lower as dollar remains supported,negative
03-02-2017,gold to trade in 28670-29160 range: achiievers equities,neutral
19-06-2015,"Gold holds firm near $1,200 on dovish Fed",neutral
25-09-2017,Gold prices finish at a more than one-week high,positive
28-02-2018,india : is gold a good investment in a volatile market?,none
13-12-2012,gold futures down over $20/oz ahead of settlement,negative
30-01-2017,"Gold holds modest gains, up $3.10, or 0.3%, at $1,191.50/oz. after data",positive
15-03-2006,april gold up $1.40 to end the day at $554.40/oz in ny,positive
01-11-2011,"Gold, Silver may trade lower today: Angel Commodities",negative
26-10-2017,"KAZ Minerals lifts copper, gold guidance",positive
28-02-2017,Gold little-changed after data,neutral
27-11-2017,germany : why gold market in germany is thriving,positive
19-06-2009,"august gold ends up $1.60, or 0.2%, at $936.20",positive
14-04-2010,gold futures at highest since early december,positive
22-12-2004,gold futures close narrowly lower,negative
23-11-2018,Gold edges up ahead of G20 meeting; set to post second weekly gain,positive
03-12-2004,feb gold falls 10c to $452.20/oz in morning ny trade,negative
30-05-2000,gold little changed; copper sinks,neutral
07-01-2013,gold swings between gains and drops on stronger dollar,positive
20-06-2018,charts : gold gld etf update - breakdown ?,none
19-12-2011,"feb. gold down $1.20 to close at $1,596.70/oz",negative
19-01-2005,philly gold and silver index falls 0.5% to end at 93.53,negative
19-10-2016,"Dec. gold settles at $1,269.90/oz, up $7, or 0.6%",positive
21-03-2018,Gold Prices Hold onto Gains Ahead of FOMC Statement,neutral
10-08-2017,"December gold trades 0.8% higher at $1,289/oz.",positive
21-05-2018,gold bulls push for the exits on strong dollar and lack of fear,negative
14-04-2010,"gold ends 0.5% higher, at $1,159.60 an ounce",positive
26-03-2015,"gold futures soar above $1,200, amid escalating conflict in yemen",positive
23-05-2013,gold settles at its highest level in a week,positive
18-08-2017,"gold prices rise for a third day, buoyed by geopolitical worries",positive
01-12-2017,Gold holds near 3-1/2 week low as investors opt for riskier assets,negative
16-02-2018,"gold ends higher, logs biggest weekly gain since 2016",positive
16-06-2017,"August gold rises 0.2% at $1,257.50/oz.",positive
21-04-2004,gold futures at seven-week low,negative
27-09-2017,gold edges down as dollar gains on fed rate hike view,negative
20-09-2018,van eck : tighter global monetary policy to support gold market,positive
06-06-2018,"Gold rebounds to Rs 31,860 on firm global cues",positive
29-07-2016,"december gold gains $4.10, or 0.3%, to $1,345.30/oz.",positive
11-09-2017,gold prices settle at lowest level in more than a week,negative
29-09-2010,"dec. gold down 30 cents at $1,310/oz on globex",negative
13-09-2016,"Dec. gold settles at $1,323.70/oz, down $1.90, or 0.1%",negative
22-02-2017,"Gold jumps 0.3% from settlement price after Fed minutes to $1,237.40 an ounce",positive
08-01-2010,"gold lost 1% to $1,121.80 an ounce",negative
09-03-2016,gold futures fall for a third straight session,negative
31-08-2011,gold has best monthly performance since nov. 2009,positive
02-10-2017,gold prices settle at lowest level in nearly 8 weeks,negative
,"gold futures climb back above $1,200/oz on comex",positive
02-10-2003,metals shares turn higher; gold futures still lower,negative
18-06-2012,gold declines first time in seven days after greek elections,negative
26-10-2017,gold gains on weaker dollar; markets brace for ecb decision,positive
12-12-2017,gold holds modest loss after ppi report,negative
28-11-2017,February gold contract notches highest settlement in over a week,positive
27-07-2017,"August gold climbs by $10.60, or 0.9%, to settle at $1,260/oz",positive
23-03-2010,"gold finishes higher at $1,103.70/oz",positive
11-01-2018,debt : global debt surges - gold and silver investors' patience will soon pay off,positive
22-04-2008,"gold futures open higher, as dollar drops",positive
08-03-2011,gold futures close with a more than $7 loss,negative
30-08-2017,"gold surrenders 11-month highs on stronger dollar, upbeat economic data",negative
09-10-2013,gold edges up in electronic trade post-fed minutes,positive
12-06-2018,when will gold's 'summer doldrums' end? history says pretty soon,none
29-06-2017,Gold ends lower as rise in government bond yields dulls investment interest,negative
23-08-2013,gold jewellery exports fall 70% in july,none
29-04-2011,"silver, gold near lifetime highs, dollar loses ground",negative
23-07-2012,african barrick gold production declines,none
14-06-2016,"Gold futures down at Rs 30,568 on weak global cues",negative
05-05-2004,"metals shares fall, but gold futures edge up",positive
27-06-2008,august gold ends up $16.20 at $931.30 an ounce on nymex,positive
29-01-2004,"gold futures fall under $400, first time since dec. 2",negative
03-11-2016,ghana makes government certificate mandatory for exporting dore gold,none
05-01-2018,gold holds modest loss after ism services data,negative
18-08-2016,gold notches two-week high on expectations fed will lift rates slowly,positive
07-12-2012,gold prices gain in major metros in india,positive
03-05-2018,gold futures mark first gain in four sessions,positive
06-11-2007,"gold sets fresh multi-decade high of $815.2/ounce, up $4.4",positive
01-12-2011,Support for MCX Gold Feb at Rs 28800: Kotak Commodity,none
24-04-2014,microsoft ceo sees 'gold rush' in the cloud,none
26-01-2017,gold ends at lowest level in over 2 weeks as dollar strengthens,negative
07-04-2016,"gold, silver bounce on global cues, jewellers buying",positive
16-12-2013,gold scores gain for second session in a row,positive
20-02-2015,Jewellers want gold import duty cut to 2%,none
13-09-2013,"gold heads for worst week in 2 months on syria, fed",negative
05-08-2011,"gold hits new high of rs 24,350; silver sheds rs 3,100",positive
01-11-2005,dec gold falls $4.10 to $462.80/oz in morning ny trade,negative
09-12-2016,"Gold at 10-month low, down 5 weeks in a row",negative
13-04-2018,abc refinery gains shanghai gold exchange accreditation,none
24-10-2011,Spot Gold rates move up today,positive
04-02-2016,"gold jumps above $1,150 as u.s. dollar collapses to 3-month low",positive
07-12-2016,Gold futures end higher after back-to-back drop,positive
06-07-2018,natixis : look for gold to rally in september as usd weakens,positive
24-10-2017,silver steals the shine as gold loses lustre,negative
20-09-2006,kinross gold agrees $500 million credit facility,none
10-10-2017,"Dec. gold settles at $1,293.80/oz, up $8.80, or 0.7%",positive
08-06-2009,gold ends at two-week low as dollar continues to strengthen,negative
29-08-2016,gold futures fall 0.24% on global cues,negative
06-07-2018,Gold prices to trade lower today: Angel Commodities,negative
25-06-2012,gold rates: mcx goldguinea july contract declines,negative
09-01-2018,india : jewellers & bullion traders spar over gold import duty,none
12-03-2013,gold prices may slip to rs 28745-27850: mangal keshav,negative
17-07-2001,"gold issues, futures prices inch up",positive
20-07-2017,"August gold settles at $1,245.50/oz, up $3.50, or 0.3%",positive
08-01-2018,Gold Prices Remain Lower on Stronger U.S. Dollar,negative
05-01-2018,gold prices pull back from 4-month highs,negative
06-01-2014,"feb. gold down $3.70, or 0.3%, at $1,234.90/oz",negative
02-08-2016,"December gold gains $8.50, or 0.6%, at $1,368.50/oz.",positive
17-05-2006,gold futures climb above $700 an ounce in morning dealings,positive
14-01-2016,gold etfs record rs 900 cr outflow in 2015; aum down 20%,negative
04-09-2013,gold may touch rs 35500/10gms in few days: kishore narne,none
20-08-2018,how trumpenomics torpedoed gold prices,none
20-07-2017,"august gold off 0.5% at $1,253.90/oz.",negative
26-06-2017,"August gold down $10, or 0.8%, to settle at $1,246.40/oz",negative
28-03-2017,"April gold down $1.60, or 0.1%, at $1,254.10/oz after highs above $1,258",negative
09-01-2017,"Feb. gold settles at $1,184.90/oz, up $11.50, or about 1%",positive
01-03-2011,"gold, oil hold to gains after ism data",neutral
25-09-2014,"price-fixing of gold, oil to become a crime in u.k.",none
08-07-2008,gold holds steady as dollar firms,neutral
10-10-2000,gold gains on dollar weakness,positive
16-11-2017,"gold rate today: gold, silver down in morning trade",negative
03-05-2013,Modern medicine strikes gold,none
26-05-2010,gold prices gain along with stock futures,positive
24-04-2001,metals issues climb; gold steadies,neutral
11-09-2008,gold falls for ninth day as dollar rises vs. euro,negative
21-03-2018,gold futures finish at a 1-week high ahead of fed decision,positive
20-02-2018,fred hickey - buy gold,positive
07-09-2017,"December gold up 0.3% at $1,343.30/oz.",positive
05-12-2017,Here's what's driving bitcoin buyers' rush to 'millennial gold',none
20-05-2013,"More steps' to curb gold imports, if needed",none
27-11-2017,"Dec. gold settles at $1,294.40/oz, up $7.10, or 0.6%",positive
24-02-2004,gold shares buoy bay street,positive
12-05-2011,gold ends higher; silver down 2% after steep loss,negative
02-02-2017,Gold futures log highest settlement since mid-November,positive
26-11-2009,"gold closes above rs 18,000-level on strong global cues",positive
15-10-2008,"gold ends lower at rs 13,130",negative
01-11-2018,"Gold glitters ahead of Dhanteras, Diwali",positive
08-04-2015,"Gold holds above $1,200/oz on weaker dollar before Fed minutes",neutral
06-07-2012,"gold, silver encounter profit-selling, global cues",negative
17-10-2013,Gold surges most in four weeks on Dagong US downgrade,positive
03-08-2014,Gold / Silver / Copper futures - weekly outlook: August 4 - 8,none
17-03-2017,"April gold settles at $1,230.20/bbl, up $3.10, or 0.3%",positive
09-11-2015,Gold prices gain in Asia as China CPI up less than expected,positive
04-05-2018,"gold futures end slightly higher, but tally a third straight weekly loss",positive
02-03-2017,have a question about gold? ask the author of 'precious metals investing for dummies' now,none
07-12-2018,sharps pixley: chinese gold demand slipping - but still up y-o-y,positive
13-10-2017,Expect Gold to trade sideways: Sushil Finance,neutral
31-07-2017,today gold price: track today gold rate latest trends and news,none
24-10-2011,"Dhanteras: This season, it is lightweight gold, silver",none
27-11-2009,"hiding behind gold's flashy moves, oil's the true performer",positive
02-05-2012,"gold, oil trade lower as jobs data weigh",negative
06-08-2018,sge : daily shanghai gold benchmark price,none
05-03-2008,"gold futures rise, as dollar edges lower",positive
13-02-2017,Gold suffers from biggest single-day dollar and percentage loss since Jan. 25,negative
12-09-2014,expect downward move in gold: astromoneyguru,negative
11-04-2018,rjo futures : gold versus silver: q2 to benefit the white metals,none
31-10-2017,Gold prices end the month with a loss of about 1.1%,negative
23-02-2016,"april gold settles at $1,222.60/oz on comex, up $12.50, or 1%",positive
16-04-2010,"june gold down $11.7, or 1%, after sentiment data",negative
22-11-2017,hong kong : world's top jeweler reveals growing appetite for gold in china,none
18-09-2017,"low inflation phase not for realty, gold; hence investors rushing to equity: ashwini agarwal, ashmore investment",negative
18-04-2018,Gold slips as dollar steadies on positive US data,negative
17-09-2015,gold prices jump in early asia as fed hold steady citing global weakness,positive
02-09-2011,"intraday strategy for gold, nickel, lead: angel broking",none
15-12-2016,Gold futures settle at lowest level since early February,negative
26-11-2014,"gold ends lower, still flirting with $1,200 level",negative
06-11-2009,"gold may be flying, but this gold stock's a turkey",none
07-11-2011,"gold, silver start week on firm note, rise on global cues",positive
05-09-2016,"Gold, silver gain on more bets the Fed will take it slow on raising rates",positive
31-10-2018,"Gold industry sees prices rising to $1,532/oz over 12 months",positive
02-06-2009,gold rises as dollar weakens anew; silver ends near $16,positive
08-03-2018,Gold Prices Edge Higher With All Eyes on U.S. Tariffs,positive
20-08-2008,december gold up $5.90 to $822.70 an ounce on globex,positive
12-04-2016,Gold at 3-week high as dollar struggles amid US rate outlook,positive
27-04-2018,"june gold up 0.2% at $1,319.90/oz.",positive
16-11-2012,sell mcx gold dec around rs 31500; target rs 31170: geojit,none
22-11-2011,MCX GOLD February contract moves up,positive
29-05-2018,"august gold trades at $1,300.10/oz, down $8.90, or 0.7%",negative
12-11-2018,Gold futures up 0.36% on positive global cues,positive
25-04-2017,"Gold futures dip to Rs 29,012 on weak global cues",negative
11-10-2011,MCX GOLDPETAL Nov contract up marginally,positive
05-12-2017,gold holds steady amid softer dollar,neutral
17-04-2011,Assets under Gold ETFs up nearly three fold,positive
09-12-2016,Gold marks new session lows as U.S. dollar index trades near day's highs,negative
14-12-2017,gold rises to 1-week high as dollar holds steady,positive
03-09-2012,gold adds to gains after weak china data,positive
02-11-2018,gold prices fall for the session to post a modest loss for the week,negative
17-10-2016,"commodity watch: gold, silver rise; sugar slides in futures trade",positive
23-01-2014,"Look to buy gold on dips to $1,240",negative
24-06-2013,"goldman's prior end-2013 gold call was $1,435/oz",none
10-01-2017,"Gold futures pare gains, but still finish at a 6-week high",positive
26-04-2010,gold survives goldman sachs,none
02-03-2009,gold futures up $12.20 at $954.70 an ounce,positive
11-05-2018,reserve bank of india adds 2.5 tonnes of gold to forex reserves in q4,none
04-10-2017,"Gold futures rise to Rs 29,416",positive
29-06-2005,"cboe gold index closes at 84.2, up 4%",positive
