Date,SF_Price,Sentiment_score,News
2011-12-15,53604,-1.0,gold etfs volumes spurt as price falls | new lows ahead for mkt gold may fall to rs 24000 sukhani
2011-12-16,53458,-0.5,mcx goldguinea dec contract trading flat | mcx gold feb contract trades lower
2011-12-19,52961,-0.2,gold futures turn up but trades below 1600 | feb gold down 120 to close at 159670oz | feb gold gains 140 to 159930oz | gold futures extends losses | feb gold down 350 or 02 at 159440oz
2011-12-20,53487,1.0,gold rises as the euro rebounds but gains fragile | gold futures settle more than 20 higher | feb gold gains 1990 to 161650oz | gold gains over 20 oil up for a second session | gold spurts on firm buying silver also edges up
2011-12-21,53148,-0.3333333333333333,feb gold falls 410 to 161350oz in ny | gold futures settle with 03 loss | gold glitters with second biggest gain in 2011 up by rs 1025
2011-12-22,52894,0.5,sell gold around rs 2790027950 target 2755027500 n bang | higher gold vault fees a rich mans problem | oil futures rise to over 99 gold lags | gold buyers bank on credit cards
2011-12-23,53067,1.0,new year offers gold another shot at 2000 | gold futures up on global cues spot demand
2011-12-27,52711,-0.75,china clamps down on gold trading frenzy | gold silver drop on profit taking sluggish global cues | chalice gold to sell zara stake to chinas sfeco | radio update shine is off sears and gold
2011-12-28,50636,-0.25,2011 gold silver touch alltime highs amid economic turmoil and rising inflation | gold futures log lowest settlement since midjuly | india gold demand sluggish as rupee slide supports price | feb gold down 1290 or 08 to 158260oz
2011-12-29,50218,-1.0,gold heads for sixthstraight session decline | india gold demand improves slightly after prices drop | gold futures down on weak global trend
2011-12-30,51445,0.25,gold moves back up after string of losses | gold rebounds oil falls below 99 | gold an ultimate asset bubble in bear market george soros | spot buying of gold  silver picks up in indian markets
2012-01-03,53109,1.0,gold back at 1600 an ounce up 22 | afterclose gold inches higher after fed minutes | gold gains rs 255 silver rs 200 on increased buying
2012-01-04,52761,0.2857142857142857,buy crude on dips gold may selloff aditya birla money | gold ends 08 higher at 161270 an ounce | gold at best in 2 weeks regains safehaven status | gold may cool off around rs 27500 nirmal bang | gold ends at best in nearly two weeks
2012-01-05,52740,0.0,hsbc lowers 2012 gold forecast 9 to 1850oz | pj commodities bets on crude advices selling gold | time to shop buy gold silver copper  crude say experts
2012-01-06,51868,1.0,gold up by rs 85 on firm global cues silver ends flat | oil turns lower gold holds gain after jobs
2012-01-09,51749,0.0,
2012-01-10,52566,-1.0,gold down by 110 on poor demand silver recovers by rs 500
2012-01-11,52607,1.0,gold up by rs 80 on global cues silver rises by rs 750 | gold climbs for a second straight session | goldman gold should jump this year
2012-01-12,52770,0.0,
2012-01-13,52001,-1.0,gold futures pare losses off 1080 at 163690 | gold futures lose more ground on dollar strength
2012-01-17,53207,0.3333333333333333,credit suisse cuts gold silver price forecasts | bridal season demand spurs hope for gold jewellers | change in import duty on gold silver muted | key themes in gold supply and demand in 2011 | gold to peak over 362000oz late 2012 or early 2013
2012-01-18,53428,0.5,fresnillo tops 2011 gold output targets | gold traders avoid positions after duty hike | gold settles 03 higher at 165990 an ounce | expect gold silver to trade on a positive note angel
2012-01-19,53387,-0.16666666666666666,freeportmcmoran copper  gold profit falls | gold snaps threeday rise on sluggish demandsilver strengthen | mcx gold feb contract up slightly | gold customs duty hike a revenue measure | duty hike drags down gold price
2012-01-20,54825,0.6,gold falls oil down for a third session | feb gold up 340 at 1658 after 164520 low | gold futures trade at sessions high | gold futures turn higher up 02 | gold futures score a 2 gain for the week
2012-01-23,55565,0.7142857142857143,usd 1680 crucial level for gold look to buy ventura | gold fields gold one mull south africa jv | silver surges on global cues gold gains | gold settles 09 higher at 167830 an ounce | mcx goldpetal jan contract rises
2012-01-24,55365,0.0,
2012-01-25,56411,0.0,gold ends atop 1700 fed extends lowrate pledge | mcx goldm feb contract trading lower | feb gold up 3970 at 1704oz | gold futures top 1700 ahead of comex settlement | can gold regain its glitter
2012-01-27,57165,1.0,gold ends higher up 41 on week | mcx goldm april contract up 1 | gold regains momentum on safe haven status
2012-01-30,56992,-0.6666666666666666,todays commodity basket gold zinc silver copper | mcx goldguinea jan contract trades lower | gold futures down at rs 27945 per 10 grams
2012-01-31,56422,0.6666666666666666,mcx goldpetal jan contract trades flat | gold ends 04 higher at 174040 an ounce | radio update gold soars 11 percent in january
2012-02-01,56834,0.3333333333333333,golds chinese dragon | gold futures up on firm global cues | india increases base import price of gold silver
2012-02-02,57023,1.0,gold at best in 11 weeks copper gives back gains
2012-02-03,56161,0.0,
2012-02-06,56426,-0.6666666666666666,gold falls on dollar strength lower stocks | mcx gold february contract trading lower | crude  silver better options than gold today experts
2012-02-07,57265,1.0,gold turns higher up 1420 at 173910
2012-02-08,56821,1.0,gold silver soar on global cues
2012-02-09,57177,1.0,gold futures move up to rs 28632 per 10 grams | gold futures move up on global cues
2012-02-10,56915,-0.4,stocks will outperform gold and bonds warren buffett | gold up by rs 25 silver by rs 200 on strong demand | gold slides more than 25 as dollar rallies | gold ends lower as greece delay hits commodities | mcx goldguinea feb contract trading lower
2012-02-13,56664,-0.5,gold problem getting serious can it deliver sustainable returns | gold futures slip on profitbooking by speculators | gold edges lower on lingering eurozone concern | gold breaks on cue  is rebound coming
2012-02-14,56416,0.0,gold futures edge up hold below 1730 | gold ends lower logs thirdstraight session loss
2012-02-15,56303,1.0,april gold up 1870 or 11 at 173640
